,gamma_autocorrelation,ocean_heat_capacity[0],ocean_heat_capacity[1],ocean_heat_capacity[2],ocean_heat_transfer[0],ocean_heat_transfer[1],ocean_heat_transfer[2],deep_ocean_efficacy,sigma_eta,sigma_xi,forcing_4co2,iirf_0[CO2],iirf_uptake[CO2],iirf_temperature[CO2],iirf_airborne[CO2],erfari_radiative_efficiency[BC],erfari_radiative_efficiency[OC],erfari_radiative_efficiency[Sulfur],erfari_radiative_efficiency[NOx],erfari_radiative_efficiency[VOC],erfari_radiative_efficiency[NH3],erfari_radiative_efficiency[CH4],erfari_radiative_efficiency[N2O],erfari_radiative_efficiency[Equivalent effective stratospheric chlorine],aci_shape[Sulfur],aci_shape[BC],aci_shape[OC],aci_scale,ozone_radiative_efficiency[CH4],ozone_radiative_efficiency[N2O],ozone_radiative_efficiency[Equivalent effective stratospheric chlorine],ozone_radiative_efficiency[CO],ozone_radiative_efficiency[VOC],ozone_radiative_efficiency[NOx],forcing_scale[CH4],forcing_scale[N2O],forcing_scale[Stratospheric water vapour],forcing_scale[Land use],forcing_scale[Volcanic],forcing_scale[Solar],forcing_scale[Light absorbing particles on snow and ice],forcing_scale[Irrigation],forcing_scale[CO2],forcing_scale[CFC-11],forcing_scale[CFC-12],forcing_scale[CFC-113],forcing_scale[CFC-114],forcing_scale[CFC-115],forcing_scale[HCFC-22],forcing_scale[HCFC-141b],forcing_scale[HCFC-142b],forcing_scale[CCl4],forcing_scale[CHCl3],forcing_scale[CH2Cl2],forcing_scale[CH3Cl],forcing_scale[CH3CCl3],forcing_scale[CH3Br],forcing_scale[Halon-1211],forcing_scale[Halon-1301],forcing_scale[Halon-2402],forcing_scale[CF4],forcing_scale[C2F6],forcing_scale[C3F8],forcing_scale[c-C4F8],forcing_scale[C4F10],forcing_scale[C5F12],forcing_scale[C6F14],forcing_scale[C7F16],forcing_scale[C8F18],forcing_scale[NF3],forcing_scale[SF6],forcing_scale[SO2F2],forcing_scale[HFC-125],forcing_scale[HFC-134a],forcing_scale[HFC-143a],forcing_scale[HFC-152a],forcing_scale[HFC-227ea],forcing_scale[HFC-32],forcing_scale[HFC-365mfc],forcing_scale[HFC-4310mee],forcing_scale[HFC-23],forcing_scale[HFC-236fa],forcing_scale[HFC-245fa],baseline_concentration[CO2],seed,stochastic_run,use_seed
385,9.022447387792806,3.621125066445942,5.706721891815676,80.76161525682154,1.8351067362261724,4.9595586699586605,1.5385146916532118,1.8009015587886346,1.729007439133871,0.3519785578276101,9.86068711910165,31.59740881685764,0.002041532262819,0.3166001893037733,0.0039570364322109,0.0244455349351883,-0.0045169705063962,-0.0033816702078729,-8.457660018719955e-05,-3.814488973197773e-05,-0.0006274812393266,-1.7562051446015002e-06,-7.60556436033744e-06,-7.364755450510135e-06,0.0149634581975803,4.03602828269389,0.0102054525623506,-0.2681442350159557,0.000297354298083,0.0011223571212365,-0.0002055181977566,8.83822523311436e-05,0.0005944991251311,0.001444069267424,0.6112995865337203,1.1144418110556304,1.2767240752917477,1.3568405984440133,0.9400282070573944,1.3015224615677512,1.0995607457596022,1.67823463783783,1.1413867875680148,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,1.045675393931907,276.40842615941244,1509378,True,True
1926,1.8489531805093744,5.603455886977258,19.64743473478653,88.18408799146455,1.5352007273395372,1.065763084092657,2.0846378203184903,1.241023923885125,0.8216379801723109,0.5193438687439105,8.24488155597658,24.36549339032499,0.005548538953823,5.308045613449541,0.0009787532128559,0.0129856082988914,-0.0048315078220636,-0.0024099655645866,-9.239191212008468e-05,5.988669895765092e-07,-0.0006031081430091,-1.9751989851289974e-06,-3.3868158955801445e-05,-7.751433063843513e-06,0.0391942409452869,3.77758882672773e-32,0.0299099676601656,-0.6213871266285759,0.0001940354624713,0.0007660720129992,-0.0001142168183985,-7.169641668981477e-06,0.0006598600042339,0.0009743536290821,1.0319815006384463,1.0734726751428252,0.5577625095659233,0.7300241279111592,0.6912736789344841,1.0633839849497646,1.307739534662608,1.899698442719486,1.024849711566021,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,1.0459359461004545,281.01074986067283,2124237,True,True
2551,14.08193795666187,2.578571098177053,18.76136876651285,80.67480117944191,1.0950853651835772,3.25960551777864,0.8208492543432375,1.4324212784040322,1.601649567867705,0.3843917525483251,7.619080967269519,27.953270081232795,0.0039140377929671,4.514448123890249,0.0006543008361251,0.0200696655708806,-0.0045406197933909,-0.0045101674002919,-7.365861819167415e-05,-1.1056753970928933e-05,-0.0006494543837589,-1.808602634050706e-06,-3.357164788141668e-05,-1.0267417504029245e-05,0.0089552590338647,1.0094436080267205e-13,0.0027085424962926,-1.1325402738365853,0.0001690058105007,0.0010368589314053,-8.16510318111985e-05,-5.32201773803308e-05,0.0002177076976762,0.0003375180385498,0.9377461551098508,1.0394842596549487,0.9129025990977154,0.6686848438476128,0.929624219488574,0.6054018151289107,1.711325838781588,1.1553299754581483,0.9814569486713292,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,0.8571861921354664,279.01295588787985,2373612,True,True
9084,8.838471754109603,4.955375770499867,30.665008682653134,71.5595992132594,1.0798736867745988,2.884498312606004,0.8397526424742064,0.9811555550715678,1.0508142121287027,0.5712211578170524,9.527790478964029,26.99173492097216,0.0050817815702041,6.159096858317355,-0.0007741263847556,0.0201965516902627,-0.0001084016554012,-0.0042223241481561,-9.668092157295392e-05,-5.043106994123105e-05,-0.0005945759749657,-4.370770303968152e-06,-2.5418848636048173e-05,-7.5563806741082705e-06,0.0026957072733934,8.178642732149236e-16,0.0005377752197848,-4.245488509544528,0.0002234328587037,0.0015730078177512,6.640758944775158e-05,-0.0001532371608687,1.0004849637788005e-05,0.0002949510558183,0.910596038214578,1.0148561669490797,1.07911879207562,0.4184561985862766,1.0938388068306586,0.9184269787572076,0.57444786844164,-0.115624636532301,1.117981201019128,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,1.211274197091046,278.20086156710533,4980279,True,True
9125,12.334211394297157,3.969341700626315,17.903657565855063,122.46029604561956,1.7207972232604365,3.3656625215668337,1.2492837111166724,1.1502906668051884,1.5050451788395365,0.7193236440872626,9.07456138010269,33.51866128758376,-0.0004459057653829,5.008287170179982,0.0013348645927019,0.017755385525368,-0.00563843609455,-0.0037088268777181,-9.231320775265692e-05,-4.018001912276265e-05,-0.0005872445933373,-2.7646393865407485e-06,-6.0933540630328734e-05,-8.27135693652225e-06,0.0029889834881952,2.170218502349736e-17,0.0003494633778263,-2.451963981660678,0.000227298844515,0.0009230705595763,-5.187656580833434e-05,-5.1273171945752086e-05,0.0006548305506177,0.0009548569436845,0.8386530187951371,0.9007726248295864,1.0898142331949197,1.0714520839338333,1.074814869299083,0.902055160212636,1.8217189415392896,0.6642012543940674,1.0854534753851808,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,1.053905133395938,275.87878874098664,4996638,True,True
14432,2.1154450527719435,5.156995724801262,11.581792272051,134.74911753545655,1.448000539778937,2.572530066413065,1.6936279587453744,1.6975527850702108,0.5613540964447078,0.5841254587936835,10.207239390879735,28.083541829190768,0.0043955103220076,2.242961728890052,0.0018206341194185,0.050501126803375,-0.0020379592335907,-0.0035760745068013,-0.0001201074092027,-3.1230883704138306e-05,-0.0005777916297753,-2.291923076063557e-06,-2.0006353909493967e-05,-8.221568683545072e-06,0.0491025455077065,9.491604306573596e-35,0.2180235759184439,-0.3648197432415991,0.0001979712222939,0.0007223184082363,-0.0001165430368706,-4.685316161850704e-05,0.0006184358495009,-8.456543854458648e-05,0.797357175861778,1.0656330267791814,1.6827515099050796,1.3094721529187388,1.0178299462546574,0.930007356207479,0.4222029175554326,2.084754511285023,1.1684946923141954,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,0.8943720180043866,277.6700154615923,7114131,True,True
17413,11.2440946030757,2.995151536981012,23.582197694931917,71.08835297087577,1.7257797288877068,3.060717235458799,1.555160420823677,1.07395161270453,1.121135889265294,0.5922805976462625,7.872854835180323,34.25694639285966,-0.0007434130097097,3.361468414189884,0.0019613376687123,0.0008082247162491,-0.0062026683141184,-0.0026950424859898,-9.637047605599268e-05,-3.510388462751209e-05,-0.0006725250871741,-3.0075584306022243e-06,-1.8719506011811192e-05,-7.419136840979503e-06,0.0597334355156624,2.6588418629936587e-35,2.032717010000813e-12,-0.3704297592758798,0.0002806635779774,0.0016201700120025,-0.0001291496105041,-0.0001717785507869,0.0005899262724496,0.0002486507215694,0.8898240026675324,0.9308211766322948,0.9895494698587454,1.0255142655232108,0.8426620144959809,0.9073218174165,0.8148872255538981,1.2930084098293468,0.9993381100225802,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,1.086256864002981,277.5781391584748,8303550,True,True
20158,14.778509443092052,3.836591233947521,22.05265384206864,111.4264189854644,1.476124794534229,2.805766629619296,2.092463792963512,1.4590763205604955,1.658038788999359,0.6399360658285981,9.980242130068822,27.846313410157347,0.0034121241765835,5.682152991634083,0.0006135290302706,0.032060139017447,-0.0032902822797818,-0.0033769262713057,-6.559133251928624e-05,-3.5671331417174e-05,-0.0005782598974489,-3.3640326251169197e-06,2.405733241414053e-06,-8.039266638557076e-06,0.2608956649626102,3.004662208256595e-50,0.0567232562192009,-0.2586899368883851,0.0002547097835832,0.001465648952278,-3.996454726665441e-06,1.8334756917470736e-05,-4.744832310659222e-05,-0.0005034361774927,1.0315408858329114,0.9810696427070524,0.7405746492973576,0.8596740810683976,0.6850876013222953,0.9083588361893928,1.212568060994204,0.6252981772770636,1.1509277875392696,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,0.8124346425386532,277.2650604097786,9398805,True,True
21168,2.7731917962224317,5.551358210541288,30.563537310811128,35.64896736455805,1.1628536100193436,3.129318566262478,2.023846757498207,1.992701857722892,1.3394749421074028,0.6304376140613457,9.628469509034344,28.52758820428799,0.002522438642373,6.460208090382497,-3.990237658016622e-05,0.031390997764444,-0.0044948353403607,-0.0029711660920818,-8.00471173276962e-05,-1.2349217188337197e-05,-0.0006223829186884,-2.1043134774980253e-06,-3.448090156489438e-05,-7.999539939875278e-06,1.5765207950509772e-07,1.3946882935307672e-08,1.860218025338737e-07,-56749.17229669374,0.0002116120385372,0.0014681775862399,-3.506900197168272e-05,0.0001298557774452,0.0002077185592284,0.001720603584827,1.0777917552639855,1.1366064154268032,0.4188075883412955,1.7484863559718438,0.8055552048137787,0.7513716111708425,1.2813131758017566,0.9622578912843922,1.1254745014209564,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,0.8278467395835751,279.40421612446454,9801795,True,True
22028,7.072765419993169,3.844632490662233,6.872292232580092,227.51863882445087,2.0900577221111,3.0842628146736866,1.6132924788707328,1.0161023011324908,1.2206078723556095,0.7783589870166011,9.06929590148206,31.20149815672662,0.0015232536573469,4.339897370789456,0.0017268936629245,0.0470010739133065,-0.0039047175406811,-0.0044686675650266,-9.116052521222704e-05,1.3234132930782602e-05,-0.0005850374509842,-9.028189568581712e-07,-5.077943721348631e-05,-1.0052727552247016e-05,0.0352600740517495,3.7024201677128574e-31,0.1122314457824783,-0.7282487002331732,0.0002686648533636,0.001114541316569,1.6685452121262446e-07,1.2149052385074186e-05,0.0005478317369069,0.0005326377307855,0.9447651084025888,1.1103461427266523,0.8277037263326321,1.373885196843493,1.0122043882395664,0.5316745062466319,1.3955674941651814,1.9976149858746084,1.0850121362520233,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,1.1645908522686037,276.8732778311547,10144935,True,True
